SYNLOX,COMPETENCIA,MARCA,CONDICION_ESPECIAL,TIPO_LUBRICANTE,FICHA_TECNICA_URL
SYNLOX LITHPLEX EP(COMPLEJO DE LITIO)(GRADO 2)(ISO 100),OKS 402(LITIO)(GRADO 2)(ISO 100),OKS,,Grasa,
SYNLOX XTREME EP(SULFONATO DE CALCIO)(GRADO 2)(ISO 220),OKS 403(COMPLEJO DE CALCIO)(GRADO 1.5)(ISO 100),OKS,,Grasa,
SYNLOX LITHPLEX EP(COMPLEJO DE LITIO)(GRADO 2)(ISO 100),OKS 404(LITIO)(GRADO 2)(ISO 100)(PAO),OKS,,Grasa,
,OKS 410(MOLY)(HIDROXIESTEARATO DE LITIO)(GRADO 2)(ISO 185),OKS,,Grasa,
SYNLOX VELOCITY,OKS 416(LITIO)(GRADO 2)(ISO 15)(ESTER),OKS,,Grasa,
,OKS 418(MOLY)(SILICATO)(ISO 220),OKS,,Grasa,
,OKS 420(MOLY)(POLICRBAMIDA)(ISO 490),OKS,,Grasa,
,OKS 422(COMPLEJO DE BARIO)(ISO 50)(PAO),OKS,,Grasa,
,OKS 424(POLICARBAMIDA)(ISO 400)(POLICARBAMIDA),OKS,,Grasa,
,OKS 425(COMPLEJO DE CALCIO)(ISO 30)(PAO),OKS,,Grasa,
,OKS 427(POLICARBAMIDA)GRADO 0)(ISO 490)(PAO),OKS,,Grasa,
,OKS 427(POLICARBAMIDA)GRADO 00)(ISO 490)(PAO),OKS,,Grasa,
,OKS 428(ESTEARATO DE LITIO)(GRADO 00)(ISO 120)(POLIGLICOL),OKS,,Grasa,
,OKS 432(COMPLEJO DE ALUMINIOO)(GRADO 2)(ISO 500),OKS,,Grasa,
,OKS 433(ESTEARATO DE LITIO)(GRADO 2)(ISO 185),OKS,,Grasa,
,OKS 464(GRAF)(COMPLEJO DE LITIO)(GRADO 2)(ISO 150)(PAO),OKS,,Grasa,
,OKS 468(INORGANICO)(GRADO 2)(ISO 1700)(PAO),OKS,H1,Grasa,
,OKS 469(INORGANICO)(GRADO 2)(ISO 400)(PAO),OKS,H1,Grasa,
,OKS 470(SOLIDOS BLANCOS)(ESTEARATO DE LITIO)(GRADO 2)(ISO 100),OKS,H2,Grasa,
,OKS 472(COMPLEJO DE ALUMINIO)(GRADO 1)(ISO 30)(PAO-ESTER),OKS,H1,Grasa,
